06-52-44.179,50.63,0
06-52-44.303,50.59,0
06-52-44.428,51.75,0
06-52-44.553,53.00,0
06-52-44.677,56.97,0
06-52-44.802,57.67,0
06-52-44.929,57.73,0
06-52-45.053,57.31,0
06-52-45.167,53.66,0
06-52-45.303,52.98,0
06-52-45.428,50.24,0
06-52-45.553,49.67,0
06-52-45.677,50.29,0
06-52-45.802,50.41,0
06-52-45.928,50.67,0
06-52-46.053,50.60,0
06-52-46.176,50.92,0
06-52-46.303,51.17,0
06-52-46.429,52.66,0
06-52-46.553,54.32,0
06-52-46.678,54.74,0
06-52-46.794,54.69,0
06-52-46.917,53.88,0
06-52-47.053,55.38,0
06-52-47.174,56.00,0
06-52-47.304,56.42,0
06-52-47.427,56.40,0
06-52-47.554,55.94,0
06-52-47.678,55.09,0
06-52-47.794,55.31,0
06-52-47.929,53.92,0
06-52-48.053,52.86,0
06-52-48.175,52.35,0
06-52-48.303,52.20,0
06-52-48.428,52.70,0
06-52-48.553,53.54,0
06-52-48.680,54.84,0
06-52-48.803,55.80,0
06-52-48.927,55.54,0
06-52-49.052,55.32,0
06-52-49.173,54.10,0
06-52-49.303,52.69,0
06-52-49.429,52.31,0
06-52-49.553,51.64,0
06-52-49.679,51.10,0
06-52-49.803,51.09,0
06-52-49.927,50.94,0
06-52-50.052,50.56,0
06-52-50.174,51.01,0
06-52-50.303,50.64,0
06-52-50.427,50.43,0
06-52-50.552,50.99,0
06-52-50.678,50.52,0
06-52-50.803,50.73,0
06-52-50.927,50.52,0
06-52-51.052,49.88,0
06-52-51.174,49.76,0
06-52-51.305,49.49,0
06-52-51.427,49.88,0
06-52-51.552,49.86,0
06-52-51.677,50.23,0
06-52-51.803,51.94,0
06-52-51.928,54.99,0
06-52-52.053,57.14,0
06-52-52.177,57.59,0
06-52-52.305,57.05,0
06-52-52.429,56.23,0
06-52-52.553,54.41,0
06-52-52.678,55.02,0
06-52-52.802,55.02,0
06-52-52.931,54.41,0
06-52-53.052,53.02,0
06-52-53.168,50.90,0
06-52-53.303,50.01,0
06-52-53.427,50.29,0
06-52-53.553,49.95,0
06-52-53.677,49.69,0
06-52-53.803,49.82,0
06-52-53.929,49.56,0
06-52-54.053,49.78,0
06-52-54.176,49.69,0
06-52-54.304,49.99,0
06-52-54.427,52.23,0
06-52-54.553,53.83,0
06-52-54.677,53.95,0
06-52-54.802,53.79,0
06-52-54.927,51.75,0
06-52-55.054,49.69,0
06-52-55.169,49.96,0
06-52-55.305,50.10,0
06-52-55.427,50.74,0
06-52-55.553,50.68,0
06-52-55.678,50.59,0
06-52-55.804,50.31,0
06-52-55.927,49.71,0
06-52-56.052,49.55,0
06-52-56.176,51.04,0
06-52-56.302,54.86,0
06-52-56.427,56.56,0
06-52-56.553,57.08,0
06-52-56.678,57.25,0
06-52-56.802,56.07,0
06-52-56.927,56.27,0
06-52-57.054,60.31,0
06-52-57.175,64.93,0
06-52-57.306,66.09,1
06-52-57.427,65.71,1
06-52-57.552,64.47,3
06-52-57.680,59.71,3
06-52-57.803,58.28,0
06-52-57.927,58.37,0
06-52-58.052,58.39,0
06-52-58.177,56.66,0
06-52-58.305,55.67,0
06-52-58.428,55.27,0
06-52-58.553,55.24,0
06-52-58.677,55.67,0
06-52-58.803,55.04,0
06-52-58.927,54.21,0
06-52-59.053,51.82,0
06-52-59.172,50.11,0
06-52-59.303,50.53,0
06-52-59.428,50.69,0
06-52-59.552,50.85,0
06-52-59.678,52.17,0
06-52-59.802,56.31,0
06-52-59.927,56.80,0
06-53-00.052,56.75,0
06-53-00.178,55.10,0
06-53-00.298,51.35,0
06-53-00.422,51.25,0
06-53-00.552,52.30,0
06-53-00.676,52.26,0
06-53-00.803,52.58,0
